5 Letter Code,North,East,סוג דיווח,שם
ZLHAV,"31° 22' 21"" N","34° 47' 36"" E",חובה,צומת להבים
ZMGID,"31° 34' 22"" N","35° 11' 28"" E",חובה,צומת מגדי
ZMGEN,"31° 17' 38"" N","34° 25' 56"" E",חובה,צומת מגן
NCSHN,"31° 48' 56"" N","34° 55' 01"" E",חובה,צומת נחשון
ARRAD,"31° 15' 16"" N","35° 12' 35"" E",חובה,צומת ערד
FRDIS,"32° 35' 31"" N","34° 56' 47"" E",דרישה,צומת פוריידיס
FAZEL,"32° 02' 53"" N","35° 27' 47"" E",דרישה,צומת פצאל
ZZHOR,"30° 16' 38"" N","35° 01' 12"" E",דרישה,צומת ציחור
ZAFIT,"31° 02' 33"" N","35° 11' 59"" E",חובה,צומת צפית
KTORA,"29° 59' 22"" N","35° 04' 35"" E",חובה,צומת קטורה
SOKET,"31° 18' 27"" N","34° 54' 04"" E",חובה,צומת שוקת
ZOFAR,"30° 33' 35"" N","35° 11' 12"" E",חובה,צופר
TZHOT,"31° 18' 28"" N","34° 31' 47"" E",חובה,צפחות
ZALMN,"32° 51' 12"" N","35° 24' 42"" E",דרישה,צלמון
NCITY,"31° 17' 15"" N","34° 47' 29"" E",חובה,צפון העיר
KNTRY,"31° 08' 27"" N","34° 48' 05"" E",דרישה,קאנטרי קלאב
KKDEM,"31° 15' 46"" N","34° 39' 01"" E",ARP,קדם
KRYON,"32° 50' 36"" N","35° 06' 20"" E",חובה,קריון
CLORE,"32° 03' 11"" N","34° 44' 09"" E",דרישה,קלור
LLKZ,"30° 51' 32"" N","34° 26' 37"" E",ARP,קציעות
LLKS,"33° 12' 42"" N","35° 34' 15"" E",ARP,קרית שמונה
LLIB,"32° 58' 50"" N","35° 34' 15"" E",ARP,ראש פינה
LLRS,"31° 58' 03"" N","34° 45' 13"" E",ARP,ראשון לציון
REVAH,"31° 38' 40"" N","34° 43' 49"" E",חובה,רווחה
ROKCH,"32° 06' 09"" N","34° 48' 13"" E",דרישה,רוקח
RIDNG,"32° 06' 37"" N","34° 46' 45"" E",דרישה,רידינג
LLRM,"30° 46' 30"" N","34° 40' 00"" E",ARP,רמון
LLRD,"32° 40' 00"" N","35° 11' 00"" E",ARP,רמת דוד
HOVAV,"31° 08' 08"" N","34° 48' 18"" E",חובה,רמת חובב
ZRANA,"32° 10' 38"" N","34° 53' 16"" E",חובה,רעננה מרכז
RANNO,"32° 11' 27"" N","34° 53' 18"" E",חובה,רעננה צפון
SZION,"32° 58' 46"" N","35° 05' 36"" E",חובה,שבי ציון
SEGEV,"32° 51' 40"" N","35° 15' 45"" E",חובה,שגב
BOKER,"30° 52' 30"" N","34° 47' 09"" E",חובה,שדה בוקר
SDTYM,"32° 29' 48"" N","34° 53' 06"" E",חובה,שדות ים
SDROT,"31° 30' 24"" N","34° 35' 08"" E",חובה,שדרות
SOVAL,"31° 24' 41"" N","34° 44' 47"" E",חובה,שובל
SORES,"31° 47' 59"" N","35° 04' 34"" E",חובה,שורש
SIZFN,"30° 02' 51"" N","35° 00' 52"" E",חובה,שזפון
SHRUT,"29° 54' 28"" N","35° 00' 12"" E",דרישה,שחרות
SITIM,"30° 10' 33"" N","35° 00' 52"" E",דרישה,שיטים
SMRAT,"32° 57' 06"" N","35° 05' 24"" E",דרישה,שמרת
SHARG,"31° 49' 11"" N","35° 01' 16"" E",דרישה,שער הגיא
SFAIM,"32° 12' 38"" N","34° 48' 26"" E",דרישה,שפיים
LLBS,"31° 17' 13"" N","34° 43' 22"" E",ARP,תימן
ASKLN,"31° 39' 59"" N","34° 32' 21"" E",חובה,תל אשקלון
TYONA,"32° 00' 17"" N","34° 43' 38"" E",ARP,תל יונה
LLEK,"31° 50' 12"" N","34° 49' 06"" E",ARP,תל נוף
TARAD,"31° 16' 39"" N","35° 07' 32"" E",דרישה,תל ערד
YRIHO,"31° 49' 10"" N","35° 23' 15"" E",חובה,מצפה יריחו
SHALM,"31° 31' 33"" N","35° 24' 09"" E",חובה,מצפה שלם
MEHOL,"31° 57' 39"" N","34° 45' 51"" E",חובה,משולש חולות
MINGV,"31° 22' 08"" N","34° 42' 46"" E",חובה,משמר הנגב
EMMEK,"32° 36' 54"" N","35° 08' 30"" E",דרישה,משמר העמק
MESEK,"31° 15' 53"" N","34° 41' 59"" E",דרישה,משק
METAH,"31° 13' 32"" N","34° 45' 18"" E",דרישה,מנחת
LLNV,"31° 12' 48"" N","35° 01' 06"" E",ARP,נבטים
LLNV,"31° 11' 44"" N","35° 02' 21"" E",ARP,נגב
EITAN,"32° 29' 44"" N","35° 32' 01"" E",חובה,נווה איתן
ZOHAR,"31° 09' 03"" N","35° 22' 21"" E",חובה,נווה זוהר
NAHLA,"31° 39' 23"" N","34° 48' 33"" E",דרישה,נחלה
NTAIM,"31° 56' 37"" N","34° 46' 51"" E",חובה,נטעים
NITZA,"31° 43' 27"" N","34° 34' 14"" E",חובה,ניצן
NMASD,"31° 50' 00"" N","34° 37' 31"" E",חובה,נמל אשדוד
NAAMA,"31° 34' 17"" N","35° 22' 33"" E",חובה,נעמה
NOAAM,"31° 54' 31"" N","35° 27' 45"" E",דרישה,נעמה
SIRNI,"31° 55' 41"" N","34° 49' 48"" E",חובה,נצר סירני
NTVOT,"31° 25' 45"" N","34° 35' 57"" E",דרישה,נתיבות
SUPER,"31° 58' 35"" N","34° 44' 30"" E",חובה,סופרלנד
SIGAL,"31° 11' 42"" N","35° 17' 34"" E",חובה,סגול
SAMAR,"29° 49' 53"" N","35° 01' 43"" E",חובה,סמר
SAHAR,"32° 17' 45"" N","34° 45' 10"" E",דרישה,סער
LLOV,"29° 56' 06"" N","34° 56' 27"" E",ARP,עובדה
OMMER,"31° 16' 29"" N","34° 49' 42"" E",חובה,עומר
AZOOZ,"30° 48' 00"" N","34° 28' 13"" E",דרישה,עזוז
ENGDI,"31° 27' 51"" N","35° 23' 41"" E",חובה,עין גדי
LLEV,"32° 15' 54"" N","34° 57' 06"" E",ARP,עין ורד
LLEY,"30° 37' 18"" N","35° 12' 11"" E",ARP,עין יהב
ZURIM,"31° 42' 06"" N","34° 42' 54"" E",ARP,עין צורים
LLES,"32° 26' 29"" N","35° 00' 12"" E",ARP,עין שמר
ZUKIM,"31° 42' 58"" N","35° 26' 59"" E",חובה,עיינות צוקים
EIRON,"32° 28' 51"" N","35° 01' 28"" E",דרישה,עירון
AAKKO,"32° 55' 07"" N","35° 05' 47"" E",חובה,עכו
AMIOZ,"31° 15' 24"" N","34° 24' 10"" E",חובה,עמיעוז
ANATA,"31° 49' 16"" N","35° 16' 17"" E",חובה,ענאתא
AFULA,"32° 36' 13"" N","35° 16' 55"" E",חובה,עפולה
LLFK,"32° 47' 07"" N","35° 43' 02"" E",ARP,פיק
PELEG,"32° 19' 48"" N","34° 50' 14"" E",דרישה,פלג
LLPL,"31° 53' 54"" N","34° 41' 24"" E",ARP,פלמחים
PARDS,"32° 06' 10"" N","34° 50' 52"" E",דרישה,פרדס
ZDAFA,"31° 46' 54"" N","34° 35' 59"" E",דרישה,צדפה
ZASHD,"31° 49' 34"" N","34° 42' 30"" E",חובה,צומת אשדוד
NEGEV,"31° 03' 58"" N","34° 50' 17"" E",חובה,צומת הנגב
ARAVA,"30° 59' 22"" N","35° 18' 33"" E",דרישה,צומת הערבה
RUHOT,"30° 39' 36"" N","34° 48' 32"" E",דרישה,צומת הרוחות
SHARO,"32° 19' 23"" N","34° 54' 14"" E",דרישה,צומת השרון
HATRU,"31° 13' 08"" N","35° 14' 54"" E",דרישה,צומת חתרורים
ZYAAR,"32° 24' 35"" N","34° 54' 13"" E",דרישה,צומת יער
KANOT,"31° 48' 15"" N","34° 45' 48"" E",חובה,צומת כנות
BEREC,"29° 47' 35"" N","34° 54' 37"" E",חובה,הר ברך
HRGVS,"30° 31' 22"" N","34° 50' 00"" E",חובה,הר גבס
LLHZ,"32° 10' 46"" N","34° 50' 04"" E",ARP,הרצליה
VINGT,"32° 15' 20"" N","34° 49' 01"" E",דרישה,וינגייט
ZHRYA,"31° 41' 59"" N","34° 50' 42"" E",דרישה,זכריה
HADRA,"32° 27' 53"" N","34° 54' 44"" E",דרישה,חדרה
HOLOT,"30° 59' 39"" N","34° 21' 37"" E",דרישה,חולות
HULAT,"33° 02' 37"" N","35° 37' 46"" E",חובה,חולתה
OVDAT,"30° 48' 10"" N","34° 47' 36"" E",חובה,חורבות עבדת
LLHA,"32° 48' 30"" N","35° 02' 34"" E",ARP,חיפה
HAZVA,"30° 46' 24"" N","35° 14' 11"" E",חובה,חצבה
LLHS,"31° 45' 28"" N","34° 43' 23"" E",ARP,חצור
LLHB,"31° 14' 36"" N","34° 39' 18"" E",ARP,חצרים
TIRAT,"32° 25' 28"" N","35° 31' 36"" E",דרישה,טירת צבי
TLLIM,"30° 59' 26"" N","34° 45' 44"" E",דרישה,טללים
YAVNE,"31° 52' 19"" N","34° 45' 25"" E",דרישה,יבנה מזרח
YAHEL,"30° 04' 56"" N","35° 08' 00"" E",חובה,יהל
YOTVT,"29° 54' 03"" N","35° 04' 02"" E",חובה,יטבתה
YASDD,"31° 48' 37"" N","34° 27' 23"" E",דרישה,ים אשדוד
YAHOL,"32° 01' 21"" N","34° 27' 38"" E",דרישה,ים חולון
YAPAL,"31° 54' 54"" N","34° 27' 38"" E",דרישה,ים פלמחים
YASFA,"32° 13' 07"" N","34° 27' 42"" E",דרישה,ים שפיים
YRUHM,"30° 59' 23"" N","34° 54' 39"" E",חובה,ירוחם
YATED,"31° 12' 17"" N","34° 20' 04"" E",דרישה,יתר
KUVSH,"31° 15' 31"" N","34° 45' 49"" E",חובה,כובשים
KOYAR,"32° 35' 51"" N","35° 32' 37"" E",חובה,כוכב הירדן
SHAHR,"31° 57' 27"" N","35° 20' 13"" E",דרישה,כוכב השחר
DUMIM,"31° 48' 14"" N","35° 19' 29"" E",דרישה,כפר אדומים
NAGID,"31° 53' 23"" N","34° 45' 21"" E",דרישה,כפר הנגיד
HASID,"32° 44' 48"" N","35° 04' 40"" E",דרישה,כפר חסידים
HAROV,"32° 45' 33"" N","35° 40' 06"" E",חובה,כפר חרוב
NAHEM,"31° 44' 43"" N","34° 59' 20"" E",חובה,כפר מנחם
TAVOR,"32° 41' 43"" N","35° 25' 12"" E",חובה,כפר תבור
DESHE,"32° 52' 12"" N","35° 31' 57"" E",דרישה,כרי דשא
LAHAV,"31° 22' 57"" N","34° 49' 37"" E",דרישה,להב
BASAN,"33° 08' 46"" N","35° 38' 17"" E",דרישה,להבות הבשן
LTRUN,"31° 50' 19"" N","34° 58' 12"" E",דרישה,לטרון
LIAAD,"31° 57' 30"" N","34° 30' 54"" E",דרישה,ליעד
LLMG,"32° 35' 50"" N","35° 14' 05"" E",ARP,מגידו
MMORR,"31° 15' 16"" N","35° 22' 06"" E",דרישה,מור
NIZAN,"30° 45' 15"" N","34° 33' 54"" E",חובה,מזלג ניצנה
DAROM,"31° 47' 46"" N","34° 56' 38"" E",דרישה,מחלף דרום
HAREL,"31° 47' 55"" N","35° 08' 46"" E",דרישה,מחלף הראל
NSHRM,"31° 54' 33"" N","34° 53' 30"" E",חובה,מחלף נשרים
MRISN,"31° 58' 37"" N","34° 47' 31"" E",דרישה,מחלף ראשון
MYTAR,"31° 18' 53"" N","34° 56' 17"" E",דרישה,מיתר
MESAR,"30° 30' 06"" N","34° 56' 37"" E",חובה,מעלה מישר
MIHMS,"31° 51' 16"" N","35° 19' 46"" E",חובה,מעלה מכמש
LLMZ,"31° 19' 45"" N","35° 23' 18"" E",חובה,מצדה
MZDOT,"31° 21' 23"" N","35° 06' 27"" E",חובה,מצודות
EVLYM,"32° 49' 26"" N","35° 09' 05"" E",דרישה,אבליים
OHLIM,"31° 11' 28"" N","34° 48' 17"" E",חובה,אוהלים
OLGAH,"32° 25' 53"" N","34° 51' 57"" E",חובה,אולגה
OFKIM,"31° 19' 20"" N","34° 37' 08"" E",חובה,אופקים
AHIUD,"32° 54' 43"" N","35° 10' 52"" E",דרישה,אחיהוד
AYLON,"31° 52' 18"" N","34° 56' 37"" E",דרישה,איילון
LLER,"29° 43' 38"" N","35° 00' 51"" E",ARP,אילן ואסף רמון
EILAT,"29° 33' 30"" N","34° 57' 32"" E",חובה,אילת
IKKEA,"31° 57' 05"" N","34° 46' 13"" E",דרישה,איקאה
ALUMT,"32° 42' 51"" N","35° 32' 47"" E",דרישה,אלומות
ALLON,"32° 02' 29"" N","35° 22' 00"" E",דרישה,אלון
ALMOG,"31° 47' 33"" N","35° 27' 23"" E",דרישה,אלמוג
AMNON,"32° 54' 20"" N","35° 34' 00"" E",דרישה,אמנון
OSNAT,"31° 49' 58"" N","35° 12' 24"" E",דרישה,אסנת
APOLN,"32° 11' 28"" N","34° 47' 50"" E",חובה,אפולוניה
AFFEK,"32° 50' 25"" N","35° 07' 40"" E",חובה,אפק
ARGMN,"32° 10' 23"" N","35° 31' 57"" E",חובה,ארגמן
ARENA,"32° 09' 53"" N","34° 47' 08"" E",דרישה,ארנה
NASIH,"31° 19' 40"" N","34° 41' 54"" E",חובה,אשל הנשיא
ESTOL,"31° 46' 46"" N","35° 00' 41"" E",חובה,אשתאול
BRORA,"31° 28' 12"" N","34° 59' 50"" E",חובה,באר אורה
BMNUH,"30° 18' 12"" N","35° 08' 03"" E",חובה,באר מנוחה
BOREN,"32° 42' 52"" N","34° 58' 15"" E",דרישה,באורן
GOVRN,"31° 36' 22"" N","34° 53' 34"" E",דרישה,בית גוברין
HNINA,"31° 49' 49"" N","35° 12' 27"" E",חובה,בית חנינא
BOVED,"31° 55' 13"" N","34° 46' 12"" E",דרישה,בית עובד
BEZRA,"31° 44' 29"" N","34° 58' 53"" E",חובה,בית עזרא
BKAMA,"31° 28' 30"" N","34° 45' 56"" E",חובה,בית קמה
BSEMS,"31° 45' 17"" N","34° 58' 53"" E",חובה,בית שמש
LLBG,"32° 00' 34"" N","34° 53' 08"" E",ARP,בן גוריון
DEROR,"32° 15' 26"" N","34° 53' 28"" E",חובה,בני דרור
BAZRA,"32° 13' 07"" N","34° 52' 57"" E",דרישה,בצרה
BHAIL,"32° 18' 20"" N","34° 37' 57"" E",חובה,בר חיל
GALIM,"32° 50' 28"" N","34° 58' 52"" E",חובה,בת גלים
GVULT,"31° 13' 39"" N","34° 27' 37"" E",ARP,גבולות
GVARM,"31° 35' 38"" N","34° 36' 47"" E",דרישה,גברעם
ZGOAL,"31° 18' 46"" N","34° 47' 16"" E",חובה,גואל
GILAM,"32° 49' 17"" N","35° 07' 57"" E",חובה,גילם
GILAT,"31° 20' 14"" N","34° 39' 11"" E",חובה,גילת
GNYAM,"32° 09' 01"" N","34° 53' 39"" E",חובה,גני עם
DUGIT,"32° 51' 09"" N","35° 03' 06"" E",דרישה,דוגית
DIMON,"31° 04' 04"" N","35° 00' 21"" E",חובה,דימונה
DEENA,"32° 01' 26"" N","34° 38' 26"" E",חובה,דינה
DALIA,"32° 35' 49"" N","35° 05' 00"" E",חובה,דליה
LLBO,"32° 39' 00"" N","34° 55' 58"" E",ARP,הבונים
HODYA,"31° 40' 58"" N","34° 39' 09"" E",חובה,הודיה
ZOREA,"32° 38' 53"" N","35° 07' 08"" E",חובה,הזורע
HOTRM,"32° 45' 14"" N","34° 56' 13"" E",דרישה,החותרים
MOVIL,"32° 45' 33"" N","35° 14' 00"" E",חובה,המוביל
HTZUK,"32° 08' 44"" N","34° 46' 46"" E",חובה,הצוק